"","X","street","n","x","y"
"1",1,1,2,16.7380009,18.6959991
"2",2,1,2,17.6599998,18.7119999
"3",3,2,2,14.4619999,18.6550007
"4",4,2,2,16.7380009,18.6959991
"5",5,3,2,12.7938805,18.6161308
"6",6,3,2,14.4619999,18.6550007
"7",7,4,2,11.5998764,18.5883083
"8",8,4,2,12.7938805,18.6161308
"9",9,5,2,10.971961,18.5736771
"10",10,5,2,11.5998764,18.5883083
"11",11,6,2,10.7959166,18.5695744
"12",12,6,2,10.971961,18.5736771
"13",13,7,2,8.533,18.5240002
"14",14,7,2,10.7959166,18.5695744
"15",15,8,2,7.3639998,18.4990005
"16",16,8,2,8.533,18.5240002
"17",17,9,2,6.7030001,18.4850006
"18",18,9,2,7.3639998,18.4990005
"19",19,10,2,6.4789462,18.4790497
"20",20,10,2,6.7030001,18.4850006
"21",21,11,2,4.9920001,18.441
"22",22,11,2,6.4789462,18.4790497
"23",23,12,2,3.3900001,18.3969994
"24",24,12,2,4.9920001,18.441
"25",25,13,2,9.6827154,18.2092381
"26",26,13,2,10.7959166,18.5695744
"27",27,14,3,17.6599998,18.7119999
"28",28,14,3,19.4839993,18.7250004
"29",29,14,3,19.5030003,18.1189995
"30",30,15,2,8.6569996,18.0890007
"31",31,15,2,8.533,18.5240002
"32",32,16,2,5.0978222,18.0533352
"33",33,16,2,6.4789462,18.4790497
"34",34,17,2,4.9920001,18.441
"35",35,17,2,5.0978222,18.0533352
"36",36,18,2,8.7724485,17.9145889
"37",37,18,2,9.6827154,18.2092381
"38",38,19,2,8.7724485,17.9145889
"39",39,19,2,8.6569996,18.0890007
"40",40,20,3,17.4473476,17.9006481
"41",41,20,3,18.7360001,18.0639992
"42",42,20,3,19.5030003,18.1189995
"43",43,21,3,17.4473476,17.9006481
"44",44,21,3,17.5179996,18.4389992
"45",45,21,3,17.6599998,18.7119999
"46",46,22,2,17.1739998,17.8659992
"47",47,22,2,17.4473476,17.9006481
"48",48,23,2,17.1739998,17.8659992
"49",49,23,2,16.7380009,18.6959991
"50",50,24,3,7.9260001,17.6700001
"51",51,24,3,7.882,17.8500004
"52",52,24,3,8.6569996,18.0890007
"53",53,25,2,16.1129227,17.645401
"54",54,25,2,17.1739998,17.8659992
"55",55,26,5,16.1129227,17.645401
"56",56,26,5,15.8950005,18.3330002
"57",57,26,5,15.507,18.2420006
"58",58,26,5,15.3870001,18.3390007
"59",59,26,5,15.3170004,18.5170002
"60",60,27,2,3.733,17.6210003
"61",61,27,2,5.0978222,18.0533352
"62",62,28,2,7.6246362,17.5824795
"63",63,28,2,7.9260001,17.6700001
"64",64,29,2,7.3639998,18.4990005
"65",65,29,2,7.6246362,17.5824795
"66",66,30,2,3.405966,17.5355129
"67",67,30,2,3.733,17.6210003
"68",68,31,2,3.405966,17.5355129
"69",69,31,2,3.3900001,18.3969994
"70",70,32,2,15.6000004,17.5249996
"71",71,32,2,16.1129227,17.645401
"72",72,33,2,14.9702625,17.4152355
"73",73,33,2,15.6000004,17.5249996
"74",74,34,2,14.9702625,17.4152355
"75",75,34,2,14.4619999,18.6550007
"76",76,35,2,6.99401,17.3993397
"77",77,35,2,7.6246362,17.5824795
"78",78,36,2,6.99401,17.3993397
"79",79,36,2,6.7030001,18.4850006
"80",80,37,2,19.5030003,18.1189995
"81",81,37,2,19.5272503,17.2641487
"82",82,38,3,14.1594124,17.2620544
"83",83,38,3,14.783,17.382
"84",84,38,3,14.9702625,17.4152355
"85",85,39,3,8.8240004,17.1959991
"86",86,39,3,8.8760004,17.3260002
"87",87,39,3,8.7724485,17.9145889
"88",88,40,2,19.3530006,17.184
"89",89,40,2,19.5272503,17.2641487
"90",90,41,3,18.5079994,17.3279991
"91",91,41,3,19.184,17.5620003
"92",92,41,3,19.3530006,17.184
"93",93,42,3,13.3946438,17.1198883
"94",94,42,3,13.816,17.1959991
"95",95,42,3,14.1594124,17.2620544
"96",96,43,2,13.3946438,17.1198883
"97",97,43,2,12.7938805,18.6161308
"98",98,44,2,11.5249996,17.0750008
"99",99,44,2,10.971961,18.5736771
"100",100,45,2,8.1929998,17.0149994
"101",101,45,2,8.8240004,17.1959991
"102",102,46,2,8.1459999,16.9909992
"103",103,46,2,8.1929998,17.0149994
"104",104,47,2,7.9260001,17.6700001
"105",105,47,2,8.1459999,16.9909992
"106",106,48,2,5.4027152,16.9372101
"107",107,48,2,6.99401,17.3993397
"108",108,49,2,5.0978222,18.0533352
"109",109,49,2,5.4027152,16.9372101
"110",110,50,3,12.3062029,16.9213066
"111",111,50,3,12.7419996,17.0020008
"112",112,50,3,13.3946438,17.1198883
"113",113,51,2,12.2447538,16.9099293
"114",114,51,2,12.3062029,16.9213066
"115",115,52,3,14.1594124,17.2620544
"116",116,52,3,14.3319998,16.4899998
"117",117,52,3,14.3889999,16.4990005
"118",118,53,2,15.3170004,16.4099998
"119",119,53,2,14.9702625,17.4152355
"120",120,54,2,15.3889999,16.1200008
"121",121,54,2,16.0689697,16.4080257
"122",122,55,2,15.3170004,16.4099998
"123",123,55,2,15.3889999,16.1200008
"124",124,56,3,14.0244579,15.827219
"125",125,56,3,15.1340361,16.3555603
"126",126,56,3,15.3170004,16.4099998
"127",127,57,2,14.0244579,15.827219
"128",128,57,2,13.3946438,17.1198883
"129",129,58,3,15.3889999,16.1200008
"130",130,58,3,15.5100002,15.7519999
"131",131,58,3,15.6070004,15.6219997
"132",132,59,2,13.5803728,15.6042328
"133",133,59,2,14.0244579,15.827219
"134",134,60,2,14.4429998,15.0100002
"135",135,60,2,14.0244579,15.827219
"136",136,61,2,12.2447538,16.9099293
"137",137,61,2,11.5998764,18.5883083
"138",138,62,2,19.5272503,17.2641487
"139",139,62,2,19.541317,16.7682648
"140",140,63,2,19.3530006,17.184
"141",141,63,2,19.541317,16.7682648
"142",142,64,2,11.165,16.7099991
"143",143,64,2,12.2447538,16.9099293
"144",144,65,2,3.733,17.6210003
"145",145,65,2,4.2443171,16.7018509
"146",146,66,2,8.1459999,16.9909992
"147",147,66,2,7.1856389,16.6844387
"148",148,67,2,7.1856389,16.6844387
"149",149,67,2,6.99401,17.3993397
"150",150,68,2,10.8289194,16.6464252
"151",151,68,2,11.165,16.7099991
"152",152,69,2,4.2927132,16.6148548
"153",153,69,2,5.4027152,16.9372101
"154",154,70,2,4.2443171,16.7018509
"155",155,70,2,4.2927132,16.6148548
"156",156,71,2,17.1739998,17.8659992
"157",157,71,2,17.743,16.5869999
"158",158,72,2,10.3191881,16.550005
"159",159,72,2,10.8289194,16.6464252
"160",160,73,2,9.6827154,18.2092381
"161",161,73,2,10.3191881,16.550005
"162",162,74,2,19.541317,16.7682648
"163",163,74,2,19.5478706,16.5372238
"164",164,75,2,15.6000004,17.5249996
"165",165,75,2,16.0689697,16.4080257
"166",166,76,2,9.4746075,16.3902454
"167",167,76,2,10.3191881,16.550005
"168",168,77,2,9.3370533,16.9699402
"169",169,77,2,9.4746075,16.3902454
"170",170,78,2,4.2443171,16.7018509
"171",171,78,2,3.4272959,16.3845978
"172",172,79,2,3.4272959,16.3845978
"173",173,79,2,3.405966,17.5355129
"174",174,80,2,9.0890484,16.3173122
"175",175,80,2,9.4746075,16.3902454
"176",176,81,2,9.0301085,16.3061638
"177",177,81,2,9.0890484,16.3173122
"178",178,82,2,8.8240004,17.1959991
"179",179,82,2,9.0301085,16.3061638
"180",180,83,2,8.3710003,16.1749992
"181",181,83,2,9.0301085,16.3061638
"182",182,84,2,8.1929998,17.0149994
"183",183,84,2,8.3710003,16.1749992
"184",184,85,2,18.7351665,16.1498737
"185",185,85,2,19.5478706,16.5372238
"186",186,86,3,18.7351665,16.1498737
"187",187,86,3,18.3939991,16.8759995
"188",188,86,3,17.743,16.5869999
"189",189,87,2,7.868,16.0779991
"190",190,87,2,8.3710003,16.1749992
"191",191,88,2,3.518651,16.0325737
"192",192,88,2,3.944,16.1590004
"193",193,89,2,3.4272959,16.3845978
"194",194,89,2,3.518651,16.0325737
"195",195,90,2,7.375,15.9779997
"196",196,90,2,7.868,16.0779991
"197",197,91,2,7.375,15.9779997
"198",198,91,2,7.1856389,16.6844387
"199",199,92,2,16.0689697,16.4080257
"200",200,92,2,16.2697639,15.9297791
"201",201,93,2,10.8289194,16.6464252
"202",202,93,2,11.026,15.8590002
"203",203,94,2,6.6325169,15.821804
"204",204,94,2,7.375,15.9779997
"205",205,95,2,5.6999531,15.6256208
"206",206,95,2,6.6325169,15.821804
"207",207,96,2,5.4027152,16.9372101
"208",208,96,2,5.6999531,15.6256208
"209",209,97,2,15.6070004,15.6219997
"210",210,97,2,16.2697639,15.9297791
"211",211,98,3,17.743,16.5869999
"212",212,98,3,17.0990009,16.2549992
"213",213,98,3,17.4214344,15.5421467
"214",214,99,2,5.0250001,15.5159998
"215",215,99,2,5.6999531,15.6256208
"216",216,100,2,4.9097862,15.4901791
"217",217,100,2,5.0250001,15.5159998
"218",218,101,2,4.2927132,16.6148548
"219",219,101,2,4.9097862,15.4901791
"220",220,102,3,18.90695,15.3761148
"221",221,102,3,19.0639992,15.4499998
"222",222,102,3,18.7351665,16.1498737
"223",223,103,2,13.0880003,15.3570004
"224",224,103,2,13.5803728,15.6042328
"225",225,104,2,12.3062029,16.9213066
"226",226,104,2,13.0880003,15.3570004
"227",227,105,2,15.6070004,15.6219997
"228",228,105,2,15.6938972,15.3395834
"229",229,106,2,10.2639999,15.6700001
"230",230,106,2,9.4910889,15.3207779
"231",231,107,2,9.0890484,16.3173122
"232",232,107,2,9.4910889,15.3207779
"233",233,108,3,13.5803728,15.6042328
"234",234,108,3,13.6700001,15.3889999
"235",235,108,3,13.5600004,15.3149996
"236",236,109,2,3.721,15.2480001
"237",237,109,2,4.9097862,15.4901791
"238",238,110,2,3.518651,16.0325737
"239",239,110,2,3.721,15.2480001
"240",240,111,2,16.5881329,15.1714983
"241",241,111,2,17.4214344,15.5421467
"242",242,112,2,16.2697639,15.9297791
"243",243,112,2,16.5881329,15.1714983
"244",244,113,2,3.4498279,15.1688366
"245",245,113,2,3.721,15.2480001
"246",246,114,2,3.4498279,15.1688366
"247",247,114,2,3.4272959,16.3845978
"248",248,115,2,18.402319,15.1387091
"249",249,115,2,18.90695,15.3761148
"250",250,116,2,9.0590544,15.1255732
"251",251,116,2,9.4910889,15.3207779
"252",252,117,2,9.0590544,15.1255732
"253",253,117,2,8.7840004,15.7720003
"254",254,118,2,13.0880003,15.3570004
"255",255,118,2,12.2139997,14.9090004
"256",256,119,2,17.8946495,14.8998747
"257",257,119,2,18.402319,15.1387091
"258",258,120,3,15.6938972,15.3395834
"259",259,120,3,15.8470001,14.842
"260",260,120,3,16.5881329,15.1714983
"261",261,121,3,17.4214344,15.5421467
"262",262,121,3,17.7439995,14.8290005
"263",263,121,3,17.8946495,14.8998747
"264",264,122,3,11.8000002,14.8109999
"265",265,122,3,11.4499998,15.6140003
"266",266,122,3,11.165,16.7099991
"267",267,123,2,14.5469418,14.8062286
"268",268,123,2,15.6938972,15.3395834
"269",269,124,2,14.4429998,15.0100002
"270",270,124,2,14.5469418,14.8062286
"271",271,125,2,13.9339371,14.7479525
"272",272,125,2,14.4429998,15.0100002
"273",273,126,5,7.868,16.0779991
"274",274,126,5,7.9829998,15.2220001
"275",275,126,5,7.9530001,15.1409998
"276",276,126,5,8.1569996,14.7180004
"277",277,126,5,9.0590544,15.1255732
"278",278,127,3,16.5881329,15.1714983
"279",279,127,3,16.6529999,15.0170002
"280",280,127,3,16.8626099,14.5456047
"281",281,128,2,13.5017796,14.5254908
"282",282,128,2,13.9339371,14.7479525
"283",283,129,2,13.5017796,14.5254908
"284",284,129,2,13.0880003,15.3570004
"285",285,130,3,7.2350001,14.4250002
"286",286,130,3,6.796,15.2969999
"287",287,130,3,6.6325169,15.821804
"288",288,131,3,6.012208,14.371027
"289",289,131,3,5.9580002,14.5930004
"290",290,131,3,5.6999531,15.6256208
"291",291,132,2,5.3569999,14.2150002
"292",292,132,2,6.012208,14.371027
"293",293,133,4,5.0250001,15.5159998
"294",294,133,4,5.1300001,14.9499998
"295",295,133,4,5.2030001,14.9569998
"296",296,133,4,5.3569999,14.2150002
"297",297,134,2,12.6890001,14.1149998
"298",298,134,2,13.5017796,14.5254908
"299",299,135,2,10.0377073,14.0517893
"300",300,135,2,11.8000002,14.8109999
"301",301,136,2,9.4910889,15.3207779
"302",302,136,2,10.0377073,14.0517893
"303",303,137,4,15.8640003,13.9809999
"304",304,137,4,15.9709997,14.0570002
"305",305,137,4,15.9469995,14.1029997
"306",306,137,4,16.8626099,14.5456047
"307",307,138,3,15.5389996,14.1099997
"308",308,138,3,15.7370005,14.2139997
"309",309,138,3,15.8640003,13.9809999
"310",310,139,2,12.2077274,13.8600874
"311",311,139,2,12.6890001,14.1149998
"312",312,140,2,11.8000002,14.8109999
"313",313,140,2,12.2077274,13.8600874
"314",314,141,2,15.573,13.8400002
"315",315,141,2,15.8640003,13.9809999
"316",316,142,2,19.5478706,16.5372238
"317",317,142,2,19.6246185,13.831727
"318",318,143,2,18.90695,15.3761148
"319",319,143,2,19.6246185,13.831727
"320",320,144,2,6.1486492,13.812314
"321",321,144,2,7.2350001,14.4250002
"322",322,145,2,6.1486492,13.812314
"323",323,145,2,6.012208,14.371027
"324",324,146,2,16.8626099,14.5456047
"325",325,146,2,17.1940002,13.8030005
"326",326,147,2,19.6246185,13.831727
"327",327,147,2,19.6272583,13.7386885
"328",328,148,2,11.7840004,13.6350002
"329",329,148,2,12.2077274,13.8600874
"330",330,149,2,15.1485777,13.6267643
"331",331,149,2,15.573,13.8400002
"332",332,150,2,14.5469418,14.8062286
"333",333,150,2,15.1485777,13.6267643
"334",334,151,2,8.8964672,13.560133
"335",335,151,2,10.0377073,14.0517893
"336",336,152,2,14.0430002,13.5080004
"337",337,152,2,13.5017796,14.5254908
"338",338,153,3,13.9339371,14.7479525
"339",339,153,3,14.3240004,14.0170002
"340",340,153,3,14.5509996,13.5010004
"341",341,154,2,19.1459999,13.4759998
"342",342,154,2,19.6272583,13.7386885
"343",343,155,3,18.402319,15.1387091
"344",344,155,3,19.0020008,13.7880001
"345",345,155,3,19.1459999,13.4759998
"346",346,156,2,15.1485777,13.6267643
"347",347,156,2,15.2770004,13.375
"348",348,157,2,18.6650467,13.1906729
"349",349,157,2,19.1459999,13.4759998
"350",350,158,3,17.8946495,14.8998747
"351",351,158,3,18.3610001,13.8669996
"352",352,158,3,18.6650467,13.1906729
"353",353,159,2,13.3789997,13.1639996
"354",354,159,2,14.0430002,13.5080004
"355",355,160,5,12.6890001,14.1149998
"356",356,160,5,12.7819996,13.9359999
"357",357,160,5,12.9420004,13.5970001
"358",358,160,5,13.1029997,13.6750002
"359",359,160,5,13.3789997,13.1639996
"360",360,161,2,7.9123201,13.1361542
"361",361,161,2,8.8964672,13.560133
"362",362,162,2,7.9123201,13.1361542
"363",363,162,2,7.2350001,14.4250002
"364",364,163,3,15.573,13.8400002
"365",365,163,3,15.8190002,13.3219995
"366",366,163,3,15.4565592,13.1309834
"367",367,164,2,15.2770004,13.375
"368",368,164,2,15.4565592,13.1309834
"369",369,165,2,14.8091011,13.106781
"370",370,165,2,15.2770004,13.375
"371",371,166,3,6.4696321,13.0269709
"372",372,166,3,6.2319999,13.4709997
"373",373,166,3,6.1486492,13.812314
"374",374,167,2,13.3789997,13.1639996
"375",375,167,2,13.085,13.0030003
"376",376,168,2,14.3639154,12.8515816
"377",377,168,2,14.8091011,13.106781
"378",378,169,2,14.3639154,12.8515816
"379",379,169,2,14.0430002,13.5080004
"380",380,170,2,8.8964672,13.560133
"381",381,170,2,8.9386053,12.83183
"382",382,171,2,14.4169998,12.743
"383",383,171,2,14.3639154,12.8515816
"384",384,172,2,7.2081971,12.7395391
"385",385,172,2,7.9123201,13.1361542
"386",386,173,2,18.6650467,13.1906729
"387",387,173,2,17.7065144,12.6450005
"388",388,174,3,17.1940002,13.8030005
"389",389,174,3,17.5769997,12.9390001
"390",390,174,3,17.7065144,12.6450005
"391",391,175,2,5.1874361,12.6099167
"392",392,175,2,6.4696321,13.0269709
"393",393,176,2,6.7588978,12.4864607
"394",394,176,2,7.2081971,12.7395391
"395",395,177,2,6.7588978,12.4864607
"396",396,177,2,6.4696321,13.0269709
"397",397,178,2,13.9110003,12.4790001
"398",398,178,2,14.4169998,12.743
"399",399,179,2,7.4172621,12.4762888
"400",400,179,2,7.8506641,12.7446699
"401",401,180,2,7.4172621,12.4762888
"402",402,180,2,7.2081971,12.7395391
"403",403,181,2,9.0972004,12.3850803
"404",404,181,2,9.5534487,12.7267799
"405",405,182,3,8.9386053,12.83183
"406",406,182,3,8.9244738,12.6359501
"407",407,182,3,9.0972004,12.3850803
"408",408,183,2,4.25,12.3050003
"409",409,183,2,5.1874361,12.6099167
"410",410,184,3,5.3569999,14.2150002
"411",411,184,3,3.7690001,13.7049999
"412",412,184,3,4.25,12.3050003
"413",413,185,2,9.5534487,12.7267799
"414",414,185,2,9.8582888,12.2909603
"415",415,186,2,14.4169998,12.743
"416",416,186,2,14.7060003,12.25
"417",417,187,2,13.3966837,12.2042065
"418",418,187,2,13.9110003,12.4790001
"419",419,188,2,15.4565592,13.1309834
"420",420,188,2,15.8772621,12.1351805
"421",421,189,5,16.9419994,12.118
"422",422,189,5,16.4899998,13.0159998
"423",423,189,5,16.4360008,13.0240002
"424",424,189,5,16.2709999,13.4049997
"425",425,189,5,17.1940002,13.8030005
"426",426,190,2,8.9386053,12.83183
"427",427,190,2,7.75176,12.0550976
"428",428,191,2,7.75176,12.0550976
"429",429,191,2,7.4172621,12.4762888
"430",430,192,2,17.7065144,12.6450005
"431",431,192,2,17.9696884,12.0475893
"432",432,193,2,13.007,11.9960003
"433",433,193,2,13.3966837,12.2042065
"434",434,194,2,12.2077274,13.8600874
"435",435,194,2,13.007,11.9960003
"436",436,195,2,9.8582888,12.2909603
"437",437,195,2,10.0545797,11.9907026
"438",438,196,2,14.191,11.9700003
"439",439,196,2,14.7060003,12.25
"440",440,197,2,13.9110003,12.4790001
"441",441,197,2,14.191,11.9700003
"442",442,198,6,14.8091011,13.106781
"443",443,198,6,15.2749996,12.1000004
"444",444,198,6,15.3269997,12.0159998
"445",445,198,6,15.4750004,12.0500002
"446",446,198,6,15.5220003,11.9530001
"447",447,198,6,15.8772621,12.1351805
"448",448,199,2,9.3767023,11.9452953
"449",449,199,2,9.8582888,12.2909603
"450",450,200,2,9.0972004,12.3850803
"451",451,200,2,9.3767023,11.9452953
"452",452,201,3,9.5534487,12.7267799
"453",453,201,3,10.3647604,12.9749203
"454",454,201,3,10.8373804,11.9244013
"455",455,202,2,9.3767023,11.9452953
"456",456,202,2,9.4359465,11.8520765
"457",457,203,2,13.007,11.9960003
"458",458,203,2,12.6529999,11.8380003
"459",459,204,2,15.8772621,12.1351805
"460",460,204,2,16.0639992,11.717
"461",461,205,2,19.6272583,13.7386885
"462",462,205,2,19.6851063,11.6994572
"463",463,206,2,10.0545797,11.9907026
"464",464,206,2,9.5583115,11.6595411
"465",465,207,2,9.4359465,11.8520765
"466",466,207,2,9.5583115,11.6595411
"467",467,208,2,8.0833921,11.63976
"468",468,208,2,9.0972004,12.3850803
"469",469,209,2,8.0833921,11.63976
"470",470,209,2,7.75176,12.0550976
"471",471,210,2,17.9696884,12.0475893
"472",472,210,2,18.1510162,11.635972
"473",473,211,2,10.3213997,11.5825596
"474",474,211,2,10.8373804,11.9244013
"475",475,212,2,10.0545797,11.9907026
"476",476,212,2,10.3213997,11.5825596
"477",477,213,2,19.4159222,11.538805
"478",478,213,2,19.6851063,11.6994572
"479",479,214,3,18.6650467,13.1906729
"480",480,214,3,18.9669991,12.5190001
"481",481,214,3,19.4159222,11.538805
"482",482,215,2,14.191,11.9700003
"483",483,215,2,14.4169998,11.5360003
"484",484,216,2,12.6529999,11.8380003
"485",485,216,2,12.0319996,11.5349998
"486",486,217,3,12.0319996,11.5349998
"487",487,217,3,11.5889997,12.4829998
"488",488,217,3,11.8050003,12.6129999
"489",489,218,4,9.4359465,11.8520765
"490",490,218,4,9.2075806,11.6911201
"491",491,218,4,9.0829287,11.6607199
"492",492,218,4,8.7513046,11.3954697
"493",493,219,2,5.8659868,11.3281698
"494",494,219,2,6.7588978,12.4864607
"495",495,220,3,5.1874361,12.6099167
"496",496,220,3,5.4560661,11.6361103
"497",497,220,3,5.8659868,11.3281698
"498",498,221,4,15.2513304,11.3118668
"499",499,221,4,15.6370001,11.5179996
"500",500,221,4,15.8070002,11.6070004
"501",501,221,4,16.0639992,11.717
"502",502,222,2,14.7060003,12.25
"503",503,222,2,15.2513304,11.3118668
"504",504,223,2,7.3959999,11.2959995
"505",505,223,2,6.7588978,12.4864607
"506",506,224,2,13.8603544,11.2842188
"507",507,224,2,13.3966837,12.2042065
"508",508,225,2,14.4169998,11.5360003
"509",509,225,2,13.8927059,11.2200298
"510",510,226,2,13.8927059,11.2200298
"511",511,226,2,13.8603544,11.2842188
"512",512,227,2,9.8386745,11.2184
"513",513,227,2,10.3213997,11.5825596
"514",514,228,2,9.5583115,11.6595411
"515",515,228,2,9.8386745,11.2184
"516",516,229,2,7.4589009,11.1870003
"517",517,229,2,8.0833921,11.63976
"518",518,230,2,7.3959999,11.2959995
"519",519,230,2,7.4589009,11.1870003
"520",520,231,2,15.2513304,11.3118668
"521",521,231,2,15.3559999,11.1470003
"522",522,232,6,16.3017616,11.123909
"523",523,232,6,16.8250008,11.4949999
"524",524,232,6,17.1439991,11.71
"525",525,232,6,17.3999996,11.8079996
"526",526,232,6,17.4720001,11.8070002
"527",527,232,6,17.9696884,12.0475893
"528",528,233,3,16.0639992,11.717
"529",529,233,3,16.2770004,11.1890001
"530",530,233,3,16.3017616,11.123909
"531",531,234,2,12.0319996,11.5349998
"532",532,234,2,11.2035303,11.1105404
"533",533,235,2,10.8373804,11.9244013
"534",534,235,2,11.2035303,11.1105404
"535",535,236,2,15.4517279,10.9671221
"536",536,236,2,15.8360004,11.243
"537",537,237,2,15.3559999,11.1470003
"538",538,237,2,15.4517279,10.9671221
"539",539,238,3,18.459528,10.9356441
"540",540,238,3,18.8080006,11.1540003
"541",541,238,3,19.4159222,11.538805
"542",542,239,2,18.1510162,11.635972
"543",543,239,2,18.459528,10.9356441
"544",544,240,2,19.6851063,11.6994572
"545",545,240,2,19.707737,10.9016447
"546",546,241,2,19.4159222,11.538805
"547",547,241,2,19.707737,10.9016447
"548",548,242,2,13.1271353,10.8527298
"549",549,242,2,13.8603544,11.2842188
"550",550,243,4,12.6529999,11.8380003
"551",551,243,4,12.7919998,11.5120001
"552",552,243,4,13.0740004,10.9589996
"553",553,243,4,13.1271353,10.8527298
"554",554,244,2,15.3559999,11.1470003
"555",555,244,2,14.8257446,10.850667
"556",556,245,3,14.4169998,11.5360003
"557",557,245,3,14.6879997,11.0889997
"558",558,245,3,14.8257446,10.850667
"559",559,246,2,9.3511257,10.8246183
"560",560,246,2,9.8386745,11.2184
"561",561,247,2,9.3511257,10.8246183
"562",562,247,2,9.0457125,11.2711496
"563",563,248,2,19.707737,10.9016447
"564",564,248,2,19.7100048,10.8217096
"565",565,249,2,10.3213997,11.5825596
"566",566,249,2,10.77036,10.7723598
"567",567,250,2,5.3715849,10.6868267
"568",568,250,2,5.8659868,11.3281698
"569",569,251,3,4.9313369,11.5090504
"570",570,251,3,5.0630178,10.8767004
"571",571,251,3,5.3715849,10.6868267
"572",572,252,2,15.6397247,10.6454229
"573",573,252,2,16.3017616,11.123909
"574",574,253,2,15.4517279,10.9671221
"575",575,253,2,15.6397247,10.6454229
"576",576,254,2,15.6397247,10.6454229
"577",577,254,2,15.5965776,10.6166334
"578",578,255,2,10.77036,10.7723598
"579",579,255,2,10.8647203,10.5992098
"580",580,256,2,12.6410398,10.5644312
"581",581,256,2,13.1271353,10.8527298
"582",582,257,2,8.9821606,10.5338202
"583",583,257,2,9.3511257,10.8246183
"584",584,258,2,8.0833921,11.63976
"585",585,258,2,8.9821606,10.5338202
"586",586,259,3,14.8257446,10.850667
"587",587,259,3,14.243,10.5249996
"588",588,259,3,13.8927059,11.2200298
"589",589,260,2,10.3505497,10.4686728
"590",590,260,2,10.77036,10.7723598
"591",591,261,2,9.8386745,11.2184
"592",592,261,2,10.3505497,10.4686728
"593",593,262,2,12.4594259,10.4567184
"594",594,262,2,12.6410398,10.5644312
"595",595,263,2,12.2512302,10.8542404
"596",596,263,2,12.4594259,10.4567184
"597",597,264,2,15.1669998,10.3299999
"598",598,264,2,15.5965776,10.6166334
"599",599,265,3,14.8257446,10.850667
"600",600,265,3,14.9709997,10.5930004
"601",601,265,3,15.1669998,10.3299999
"602",602,266,2,5.0901632,10.321764
"603",603,266,2,5.3715849,10.6868267
"604",604,267,7,16.6480007,10.2989998
"605",605,267,7,16.9279995,10.552
"606",606,267,7,17.1100006,10.6969995
"607",607,267,7,17.2689991,10.8730001
"608",608,267,7,17.4500008,11.1090002
"609",609,267,7,17.8279991,11.3900003
"610",610,267,7,18.1510162,11.635972
"611",611,268,3,16.3017616,11.123909
"612",612,268,3,16.4440002,10.75
"613",613,268,3,16.6480007,10.2989998
"614",614,269,2,15.1669998,10.3299999
"615",615,269,2,15.0657091,10.2674713
"616",616,270,2,12.1054001,10.2467499
"617",617,270,2,12.4594259,10.4567184
"618",618,271,2,18.7706013,10.2303782
"619",619,271,2,19.7100048,10.8217096
"620",620,272,3,18.459528,10.9356441
"621",621,272,3,18.5510006,10.7279997
"622",622,272,3,18.7706013,10.2303782
"623",623,273,3,5.0901632,10.321764
"624",624,273,3,5.0691819,10.41014
"625",625,273,3,4.3077641,10.2040005
